ticker,momentum_score,rank,sector
AAPL,0.003321512411967394,5.0,Technology
MSFT,-0.001866765069786654,14.0,Technology
NVDA,-0.0016236162361623532,13.0,Technology
GOOGL,0.00029265471370736187,8.0,Communication Services
AMZN,-0.0031064945150956935,18.0,Consumer Discretionary
META,0.00437476647154058,2.0,Communication Services
TSLA,-0.0024847750006889288,15.0,Consumer Discretionary
JPM,-0.005114403106034985,26.0,Financials
V,-0.0016142499304202173,12.0,Financials
JNJ,-0.003784665579119168,22.0,Health Care
UNH,0.02746101694915254,1.0,Health Care
PG,0.003516928946113516,4.0,Consumer Staples
HD,-0.003343682505399535,20.0,Consumer Discretionary
MA,-0.001366286659124477,11.0,Financials
XOM,-0.00956336939721788,30.0,Energy
CVX,-0.005659145323949801,27.0,Energy
MRK,-0.004704214460626487,25.0,Health Care
ABBV,-0.003822959293560241,23.0,Health Care
PEP,0.0038821648778259183,3.0,Consumer Staples
KO,-0.00362217887991091,21.0,Consumer Staples
LLY,-0.00798378423099208,28.0,Health Care
BAC,-0.002713704206241462,16.0,Financials
AVGO,-0.0027795459367706394,17.0,Technology
COST,0.0005109108951748218,6.0,Consumer Staples
ADBE,-0.0007020091987412744,10.0,Technology
PFE,-0.008470986869970321,29.0,Health Care
TMO,-0.0006195019204559534,9.0,Health Care
ORCL,-0.0031498980915322765,19.0,Technology
ACN,0.00031702754969396027,7.0,Information Technology
CSCO,-0.00400000000000004,24.0,Technology
